index,group,report_text
14213,0,"it is very much to be hoped that there is utter falsehood or gross exaggeration at least in the following report, which we copy from the ohio atlas, published at elyria in that state. if the details here given are indeed true, it manifests a state of society most deplorable, to be sure. the truth is, this stupendous system of violence and misrule, denominated lynch law, must be put down in this country, or our regular institutions will not only become a mockery and a byword of reproach throughout the world; but they will very soon be undermined and destroyed, our boasted freedom reduced at once to a mere ruffian system of confusion, bloodshed, and unmitigated anarchy.—n. y. courier and enquirer. ""reports are rife in this vicinity of the murder, by a mob, near chillicothe, of mr."
1513,0,"lynching.—when the train of cars left chatham, illinois, a crowd of men were engaged lynching a man for insulting ladies on the street."
16746,0,"a chap by the name of hunter had been apprehended. committees are still in session in madison and clinton counties. we hope that their plans have not included arkansas, but at all events it would be well for our citizens on the mississippi to keep a vigilant lookout."
16747,0,"lynch law.—the following account of a summary execution of vindictive justice, scorning the law's delay, is from a late number of the new orleans advertiser: new orleans, july 11. mob justice.—information was received from vicksburg (in mississippi) yesterday, by the steamboat scotland, that a serious act of mobocracy took place on the 9th inst. in the town mentioned. it appears that a den of gamblers existed in that place, which had become obnoxious to the citizens. on the fourth of july the gamblers were refused permission to participate in the celebration, whereupon, they became insolent, and notice was given to them by the citizens to leave the place."
16747,1,"we shall make no comments upon so dreadful an occurrence, hoping the accounts have been exaggerated. since the above was in type we have heard that dr. bodley was murdered in the gaming house, after having won a considerable sum of money at the table, which was the original cause of this execution of summary justice, or lynch law as it is called. the persons executed were, mr. north, who kept a tavern, dutch bill, his barkeeper, mr. samuel smith, mr."
16748,0,"lynch law—abolitionists, &c. the memphis gazette of the 8th ult. states, on the authority of a gentleman just from vicksburg, that two men, one named urley, a notorious negro thief and counterfeiter, were summarily executed a few days before by the citizens. the other man, whose name he had forgotten, belonged to a gang which has for some time infested the neighborhood."
16751,0,"r. w. carroll, a hairdresser of charleston, s.c., was lynched on the 21st ult. the mob seized him between 8 and 9 o'clock in the morning, gave him 20 lashes, a coat of tar and cotton, from head to foot, then marched through several principal streets and lodged him in jail. the account states that respectable citizens lent their presence, and all was ""orderly conducted!"" his offense was dealing with, and receiving stolen goods from slaves, against which he had repeatedly been warned."
16751,1,"their names are known and the militia are in pursuit of them. they are doubtless by this time arrested."" one of murrell's gang was hung at clinton, la., on tuesday last, under sentence of judge lynch. he had 500 dollars of counterfeit notes upon him."
16753,0,"we understand by a gentleman who arrived yesterday from baton rouge, that forty or fifty negroes had been arrested, under a charge of being concerned in an intended insurrection. several white men were engaged with the negroes; their names are known and the militia are in pursuit of them—they are doubtless by this time arrested. one of murrell's gang was hung at clinton, la., on tuesday last, under the sentence of judge lynch. he had five hundred dollars of counterfeit notes upon him. [true american.] more law breaking.—we are informed, from good authority, that two or three persons were seized in maysville, two or three days ago, implicated in the abduction of some negroes, and were passed through the ordeal of the (now omnipotent) judge lynch, to the great gratification of the citizens. our informant states that the offenders were most shockingly whipped. [cincinnati whig, of 19th.]"
16756,0,"lynch law—abolitionists, &c. in our last number we published an account of the arrest of three persons in the parish of st. helena, la., suspected of distributing seditious pamphlets, and who afterwards acknowledged they belonged to the murrell gang, and that one had made his escape, and sentence had not been passed upon the other two. our information now enables us to state that the two in custody were tried by the citizens, and the charges being fully proved, they were sentenced to be hung forthwith!"
16756,1,"[wakebolle] from the new orleans bee. a letter published in the natchez courier, from madison county, miss., 24th ult., states that few arrests and no new developments occur there now; that the internal danger has passed; and that no just apprehensions need be entertained of the few scattered remnants of the abolition crew. but it contains a singular narrative of a proceeding under the lynch code, in livingston county, whither two brothers, william and john earle, had been sent by the committee of safety at vicksburg, in order to be tried there where they were best known. they had been implicated by dr. cotton, as intended leaders of the conspiracy in warren county. judge lynch's committee sat in trial on the brothers, confining and examining them separately; and each, without any hope, fear, or compulsion, confessed a knowledge of the conspiracy some months previously—but denied having taken any part in it. john indeed accused his brother; they both accused boyd, who escaped conviction at vicksburg."
16774,0,"from the hagerstown torch light. elopement and lynch law.—a white girl, aged about 17 or 18, of respectable parentage, eloped from frederick county, last week, with a rough, rude, overgrown black fellow. on saturday night, at a late hour, they arrived in hagerstown on their way for pennsylvania, and were arrested by our vigilant police officers. the black fellow was committed to jail and the deluded girl taken care of until monday morning, when the man was taken before one of our magistrates; but having committed no offense, as it was thought, for which the law provided a punishment, he was about being dismissed, when the mob manifested a disposition to take him in hand. a commitment was then made out for the purpose of placing him in jail beyond the reach of the mob, and he was given over to the peace officers; but on the way to the jail, the indignant crowd seized him, and placing him on a rail, rushed forward with the intention of passing the jail gate. the officers who had him in charge, however, with great exertions and much to their credit, succeeded in directing the course of the mob into the gate, and thus got their charge within the prison yard."
